mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svm__C,param_svm__gamma,param_svm__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.10973730087280273,0.02719871953918599,0.021761465072631835,0.004985805548777386,1.0,scale,linear,"{'svm__C': 1, 'svm__gamma': 'scale', 'svm__kernel': 'linear'}",0.7465437788018433,0.7627906976744186,0.7663551401869159,0.7733333333333333,0.7579908675799086,0.761402763515284,0.008957916640595188,14,0.7756041426927502,0.7723669309173273,0.7681818181818182,0.768,0.768348623853211,0.7705003031290214,0.003026221719759266
0.07342534065246582,0.004621637656269084,0.04738326072692871,0.006039444690322265,1.0,scale,rbf,"{'svm__C': 1, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.8161434977578476,0.8125,0.8387096774193549,0.8340425531914893,0.8434782608695652,0.8289747978476514,0.01238435860466071,8,0.8938053097345132,0.9067245119305857,0.8977777777777778,0.905982905982906,0.8963210702341137,0.9001223151319792,0.005249502891891862
0.08857345581054688,0.0036681665523078852,0.01899123191833496,0.002171079551258465,1.0,0.001,linear,"{'svm__C': 1, 'svm__gamma': 0.001, 'svm__kernel': 'linear'}",0.7465437788018433,0.7627906976744186,0.7663551401869159,0.7733333333333333,0.7579908675799086,0.761402763515284,0.008957916640595188,14,0.7756041426927502,0.7723669309173273,0.7681818181818182,0.768,0.768348623853211,0.7705003031290214,0.003026221719759266
0.09802675247192383,0.021849366712744303,0.06245574951171875,0.011583527888619527,1.0,0.001,rbf,"{'svm__C': 1, 'svm__gamma': 0.001, 'svm__kernel': 'rbf'}",0.7456140350877193,0.7387387387387387,0.7857142857142857,0.7685589519650655,0.7606837606837606,0.7598619544379139,0.016696404470422938,29,0.7665198237885462,0.7683863885839737,0.7592997811816192,0.7612761276127613,0.7709251101321586,0.7652814462598119,0.004355412316099531
0.09444723129272461,0.008006574203795958,0.020187854766845703,0.004112498589762878,1.0,0.01,linear,"{'svm__C': 1, 'svm__gamma': 0.01, 'svm__kernel': 'linear'}",0.7465437788018433,0.7627906976744186,0.7663551401869159,0.7733333333333333,0.7579908675799086,0.761402763515284,0.008957916640595188,14,0.7756041426927502,0.7723669309173273,0.7681818181818182,0.768,0.768348623853211,0.7705003031290214,0.003026221719759266
0.08084330558776856,0.011035831292958124,0.05542902946472168,0.00765067625363535,1.0,0.01,rbf,"{'svm__C': 1, 'svm__gamma': 0.01, 'svm__kernel': 'rbf'}",0.7787610619469026,0.7636363636363637,0.7963800904977375,0.8193832599118943,0.7931034482758621,0.790252844853752,0.018626584803904715,11,0.8057713651498335,0.8096809680968097,0.8008849557522124,0.8044692737430168,0.8062709966405375,0.805415511876482,0.0028451329635571843
0.09033341407775879,0.005858192899309734,0.01971125602722168,0.0023398595888405828,1.0,0.1,linear,"{'svm__C': 1, 'svm__gamma': 0.1, 'svm__kernel': 'linear'}",0.7465437788018433,0.7627906976744186,0.7663551401869159,0.7733333333333333,0.7579908675799086,0.761402763515284,0.008957916640595188,14,0.7756041426927502,0.7723669309173273,0.7681818181818182,0.768,0.768348623853211,0.7705003031290214,0.003026221719759266
0.07038135528564453,0.0019851967873611613,0.04234910011291504,0.003228741282075976,1.0,0.1,rbf,"{'svm__C': 1, 'svm__gamma': 0.1, 'svm__kernel': 'rbf'}",0.8384279475982532,0.8070175438596491,0.832579185520362,0.8607594936708861,0.8595744680851064,0.8396717277468515,0.019793735444683946,4,0.9219088937093276,0.9229098805646037,0.9128996692392503,0.9247311827956989,0.9146608315098468,0.9194220915637455,0.0047275130251519925
0.08446879386901855,0.003661360590846382,0.01772303581237793,0.0012437443642685007,1.0,1,linear,"{'svm__C': 1, 'svm__gamma': 1, 'svm__kernel': 'linear'}",0.7465437788018433,0.7627906976744186,0.7663551401869159,0.7733333333333333,0.7579908675799086,0.761402763515284,0.008957916640595188,14,0.7756041426927502,0.7723669309173273,0.7681818181818182,0.768,0.768348623853211,0.7705003031290214,0.003026221719759266
0.13016390800476074,0.015069963417993383,0.07933034896850585,0.010338090592869024,1.0,1,rbf,"{'svm__C': 1, 'svm__gamma': 1, 'svm__kernel': 'rbf'}",0.71280276816609,0.7210884353741497,0.7508532423208191,0.7605633802816901,0.7386759581881533,0.7367967568661805,0.017823756211061057,39,1.0,1.0,1.0,0.998914223669924,1.0,0.9997828447339849,0.0004343105320304019
