mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_knn__metric,param_knn__n_neighbors,param_knn__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.019828367233276366,0.004674034974201499,0.02994232177734375,0.00709055527536399,euclidean,11,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 11, 'knn__weights': 'uniform'}",0.8036529680365296,0.8272727272727273,0.7964601769911505,0.7699530516431925,0.8490566037735849,0.8092791055434368,0.027013095550959734,11,0.847651775486827,0.8465011286681715,0.8489042675893888,0.8459770114942529,0.834841628959276,0.8447751624395832,0.005067995657822624
0.025116491317749023,0.01767724647612409,0.026036596298217772,0.005201627919966499,euclidean,11,distance,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 11, 'knn__weights': 'distance'}",0.8090909090909091,0.832579185520362,0.7822222222222223,0.7641509433962265,0.8490566037735849,0.807419972800661,0.03122986580615329,17,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.01702728271484375,0.0022621120590357803,0.030608081817626955,0.013392501850438587,euclidean,15,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 15, 'knn__weights': 'uniform'}",0.8161434977578476,0.7964601769911505,0.8157894736842105,0.783410138248848,0.839622641509434,0.8102851856382982,0.019176560489577776,10,0.8390022675736961,0.8380520951302378,0.8337182448036952,0.8383371824480369,0.8176670441676104,0.8333553668246554,0.00806251052675986
0.028757238388061525,0.017291799811855486,0.026273632049560548,0.007451894202742093,euclidean,15,distance,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 15, 'knn__weights': 'distance'}",0.8108108108108109,0.8034934497816594,0.7964601769911505,0.772093023255814,0.839622641509434,0.8044960204697738,0.021859964499333667,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.018653392791748047,0.0047247498164200465,0.03274636268615723,0.0071296327606850275,euclidean,21,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 21, 'knn__weights': 'uniform'}",0.8108108108108109,0.8108108108108109,0.7894736842105263,0.7663551401869159,0.8421052631578947,0.8039111418353917,0.025190852347742838,22,0.8237986270022883,0.8284424379232506,0.8232611174458381,0.8236658932714617,0.8211473565804275,0.8240630864446532,0.002389604800077916
0.05820760726928711,0.05191164198121881,0.03993220329284668,0.015632595679908632,euclidean,21,distance,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 21, 'knn__weights': 'distance'}",0.8071748878923767,0.8125,0.7841409691629956,0.7777777777777778,0.8476190476190476,0.8058425364904395,0.024698026515434762,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.023814821243286134,0.007710063983590414,0.025586843490600586,0.0015646342295208282,manhattan,1,uniform,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 1, 'knn__weights': 'uniform'}",0.7926267281105991,0.7428571428571429,0.7596153846153846,0.7582938388625592,0.7677725118483413,0.7642331212588054,0.016323328187096003,29,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.02445530891418457,0.007572050398373947,0.03725590705871582,0.016887539247442948,manhattan,1,distance,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 1, 'knn__weights': 'distance'}",0.7926267281105991,0.7428571428571429,0.7596153846153846,0.7582938388625592,0.7677725118483413,0.7642331212588054,0.016323328187096003,29,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.029398441314697266,0.028252536615868316,0.03360915184020996,0.0186532357690583,manhattan,3,uniform,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 3, 'knn__weights': 'uniform'}",0.8071748878923767,0.8186046511627907,0.7906976744186046,0.7830188679245284,0.8148148148148148,0.802862179242623,0.013791465164056662,23,0.9011764705882352,0.8994082840236687,0.8981042654028436,0.903755868544601,0.9146919431279621,0.9034273663374621,0.00594228174775039
0.01936450004577637,0.0045352756916567415,0.03571219444274902,0.014975971051085462,manhattan,3,distance,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 3, 'knn__weights': 'distance'}",0.8054298642533937,0.8169014084507042,0.7559808612440191,0.7757009345794392,0.8093023255813954,0.7926630788217903,0.023067949149869336,28,1.0,1.0,1.0,1.0,1.0,1.0,0.0
